timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698604615512,77956,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604615512,12821,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604615512,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698604616513,77969,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604616513,9713,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604616513,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698604617514,77971,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604617535,9380,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604617535,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698604618543,77969,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604618543,3137,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604618543,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698604619552,77964,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604619552,6179,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604619552,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698604620553,77966,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604620553,4698,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604620553,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698604621565,77994,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604621565,9329,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604621565,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698604622565,77981,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604622565,7814,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604622565,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698604623566,78181,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698604623566,21894,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698604623566,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
