timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698603568584,79425,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603568584,7090,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603568584,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603569598,79425,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603569598,14828,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603569598,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603570612,79423,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603570612,2750,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603570612,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603571626,79424,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603571627,4323,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603571627,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603572628,79428,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603572628,10107,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603572628,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603573634,79430,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603573634,7426,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603573634,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603574640,79596,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603574640,14374,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603574640,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603575644,79775,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603575644,8597,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603575644,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603576659,79846,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603576659,10109,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603576659,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603577672,79838,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603577672,1599,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603577672,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603578679,79846,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603578679,1574,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603578679,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603579679,79846,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603579679,2325,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603579679,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603580691,79820,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698603580691,4298,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698603580691,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698603581701,79828,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
